"city","thehour","Weekday","Journeys"
"albany",14,1,3.17391304347826
"albany",15,0,2.73684210526316
"albany",15,1,4.74509803921569
"albany",16,0,3
"albany",16,1,6.12244897959184
"albany",17,0,4
"albany",17,1,4.96
"albany",18,0,6.27272727272727
"albany",18,1,4.79591836734694
"albany",19,0,6.80952380952381
"albany",19,1,5.41176470588235
"albany",20,0,6.5
"albany",20,1,8.06
"albany",21,0,6.61904761904762
"albany",21,1,6.56
"albany",22,0,8.23809523809524
"albany",22,1,7.26415094339623
"albany",23,0,7.54545454545455
"albany",23,1,6.33962264150943
"almaty",0,0,104.245283018868
"almaty",0,1,112.184615384615
"almaty",1,0,97.622641509434
"almaty",1,1,122.423076923077
"almaty",2,0,101.188679245283
"almaty",2,1,113.030769230769
"almaty",3,0,107.660377358491
"almaty",3,1,108.430769230769
"almaty",4,0,115.301886792453
"almaty",4,1,115.484615384615
"almaty",5,0,114.88679245283
"almaty",5,1,157.746153846154
"almaty",6,0,117.867924528302
"almaty",6,1,229.730769230769
"almaty",7,0,110.962264150943
"almaty",7,1,162.715384615385
"almaty",8,0,99.5660377358491
"almaty",8,1,123.776923076923
"almaty",9,0,97.4528301886792
"almaty",9,1,105.446153846154
"almaty",10,0,81.0377358490566
"almaty",10,1,87.6153846153846
"almaty",11,0,62.6603773584906
"almaty",11,1,63.0692307692308
"almaty",12,0,46.2264150943396
"almaty",12,1,47.0692307692308
"almaty",13,0,33.3207547169811
"almaty",13,1,37.8846153846154
"almaty",14,0,22.7692307692308
"almaty",14,1,27.6153846153846
"almaty",15,0,14.4615384615385
"almaty",15,1,20.84
"almaty",16,0,9.24
"almaty",16,1,14.4462809917355
"almaty",17,0,6.49019607843137
"almaty",17,1,11.4603174603175
"almaty",18,0,17.2115384615385
"almaty",18,1,22.5581395348837
"almaty",19,0,48.9230769230769
"almaty",19,1,71.0930232558139
"almaty",20,0,90.2884615384615
"almaty",20,1,133.968992248062
"almaty",21,0,78.3396226415094
"almaty",21,1,105.184615384615
"almaty",22,0,78.7358490566038
"almaty",22,1,91.5736434108527
"almaty",23,0,81.4339622641509
"almaty",23,1,98.8769230769231
"amiens",1,0,1.52
"amiens",1,1,1.25
"amiens",2,0,1.7037037037037
"amiens",2,1,4.140625
"amiens",3,0,2.31428571428571
"amiens",3,1,24.265625
"amiens",4,0,3.34042553191489
"amiens",4,1,37.9147286821705
"amiens",5,0,5.77777777777778
"amiens",5,1,25.0387596899225
"amiens",6,0,6.52941176470588
"amiens",6,1,16.6076923076923
"amiens",7,0,7.90384615384615
"amiens",7,1,14.0153846153846
"amiens",8,0,7.5
"amiens",8,1,22.4230769230769
"amiens",9,0,8.05882352941176
"amiens",9,1,22.5692307692308
"amiens",10,0,7.82692307692308
"amiens",10,1,20.2615384615385
"amiens",11,0,9.13207547169811
"amiens",11,1,16.8769230769231
"amiens",12,0,9.81132075471698
"amiens",12,1,20.3307692307692
"amiens",13,0,9.78846153846154
"amiens",13,1,30.3255813953488
"amiens",14,0,9.67924528301887
"amiens",14,1,24.2384615384615
"amiens",15,0,9.20754716981132
"amiens",15,1,17.6615384615385
"amiens",16,0,8.11764705882353
"amiens",16,1,12.2230769230769
"amiens",17,0,5.98039215686275
"amiens",17,1,7.92307692307692
