"city","tzadj_hour","Weekday","Journeys"
"albany",9,0,4
"albany",9,1,4.96
"albany",10,0,6.27272727272727
"albany",10,1,4.79591836734694
"albany",11,0,6.80952380952381
"albany",11,1,5.41176470588235
"albany",12,0,6.5
"albany",12,1,8.06
"albany",13,0,6.61904761904762
"albany",13,1,6.56
"albany",14,0,8.23809523809524
"albany",14,1,7.26415094339623
"albany",15,0,7.54545454545455
"albany",15,1,6.33962264150943
"albany",16,0,9.14285714285714
"albany",16,1,6.88461538461539
"albany",17,0,9.42857142857143
"albany",17,1,9.62264150943396
"albany",18,0,7.77272727272727
"albany",18,1,10.6981132075472
"albany",19,0,9
"albany",19,1,7.77358490566038
"albany",20,0,5.4
"albany",20,1,5.31372549019608
"albany",21,0,4.76190476190476
"albany",21,1,3.11111111111111
"albany",22,0,3.94736842105263
"albany",22,1,2.64285714285714
"albany",23,0,3.47619047619048
"albany",23,1,2.76923076923077
"almaty",0,0,46.0943396226415
"almaty",0,1,47.0692307692308
"almaty",1,0,33.4339622641509
"almaty",1,1,37.8549618320611
"almaty",2,0,22.8076923076923
"almaty",2,1,27.5572519083969
"almaty",3,0,14.5
"almaty",3,1,20.7936507936508
"almaty",4,0,9.26
"almaty",4,1,14.344262295082
"almaty",5,0,8.11538461538461
"almaty",5,1,10.7142857142857
"almaty",6,0,14.6792452830189
"almaty",6,1,23.4341085271318
"almaty",7,0,34.8301886792453
"almaty",7,1,76.0697674418605
"almaty",8,0,57.9056603773585
"almaty",8,1,145.705426356589
"almaty",9,0,74.037037037037
"almaty",9,1,106.4
"almaty",10,0,84.3888888888889
"almaty",10,1,88.9767441860465
"almaty",11,0,94.1481481481482
"almaty",11,1,93.6
"almaty",12,0,104.777777777778
"almaty",12,1,112.184615384615
"almaty",13,0,98.1851851851852
"almaty",13,1,122.423076923077
"almaty",14,0,101.87037037037
"almaty",14,1,113.030769230769
"almaty",15,0,108.388888888889
"almaty",15,1,108.430769230769
"almaty",16,0,115.666666666667
"almaty",16,1,115.484615384615
"almaty",17,0,115.166666666667
"almaty",17,1,157.746153846154
"almaty",18,0,118.407407407407
"almaty",18,1,229.730769230769
"almaty",19,0,111.333333333333
"almaty",19,1,162.715384615385
"almaty",20,0,99.5925925925926
"almaty",20,1,123.776923076923
"almaty",21,0,97.3888888888889
"almaty",21,1,105.446153846154
"almaty",22,0,80.5555555555556
"almaty",22,1,87.6153846153846
"almaty",23,0,62.5740740740741
"almaty",23,1,63.0692307692308
"amiens",0,0,3.34042553191489
"amiens",0,1,3.87096774193548
"amiens",1,0,2.86363636363636
"amiens",1,1,2.72413793103448
"amiens",2,0,1.25
"amiens",2,1,1.63414634146341
"amiens",3,0,2
"amiens",3,1,1
"amiens",5,0,1.52
"amiens",5,1,1.25
"amiens",6,0,1.67857142857143
"amiens",6,1,4.140625
"amiens",7,0,2.33333333333333
"amiens",7,1,24.265625
"amiens",8,0,3.33333333333333
"amiens",8,1,37.9147286821705
"amiens",9,0,5.76086956521739
"amiens",9,1,25.0387596899225
"amiens",10,0,6.53846153846154
"amiens",10,1,16.6076923076923
"amiens",11,0,7.9622641509434
"amiens",11,1,14.0153846153846
"amiens",12,0,7.50943396226415
"amiens",12,1,22.4230769230769
"amiens",13,0,8.01923076923077
"amiens",13,1,22.5692307692308
"amiens",14,0,7.92452830188679
"amiens",14,1,20.2615384615385
"amiens",15,0,9.18518518518519
"amiens",15,1,16.8769230769231
"amiens",16,0,9.83333333333333
"amiens",16,1,20.3307692307692
"amiens",17,0,9.84905660377358
"amiens",17,1,30.3255813953488
"amiens",18,0,9.77777777777778
"amiens",18,1,24.2384615384615
"amiens",19,0,9.2037037037037
"amiens",19,1,17.6615384615385
"amiens",20,0,8.17307692307692
"amiens",20,1,12.2230769230769
"amiens",21,0,5.88461538461539
"amiens",21,1,7.92307692307692
"amiens",22,0,4.63265306122449
"amiens",22,1,5.10483870967742
"amiens",23,0,3.88372093023256
"amiens",23,1,4.70634920634921
"amstetten",6,1,1
"amstetten",8,1,1
"amstetten",9,1,1
"amstetten",10,0,1
"amstetten",10,1,1.5
"amstetten",11,1,1.5
"amstetten",12,1,1
"amstetten",13,0,1
"amstetten",13,1,1
"amstetten",14,1,1.25
"amstetten",15,1,4
"amstetten",16,0,1
"amstetten",16,1,1
"amstetten",17,1,1
"amstetten",18,1,1
"amstetten",19,1,2.5
"anqiu",0,0,22.3725490196078
"anqiu",0,1,14.784
"anqiu",1,0,8.44897959183673
"anqiu",1,1,16.7874015748031
"anqiu",2,0,8.56
"anqiu",2,1,6.00819672131148
"anqiu",3,0,8.34
"anqiu",3,1,7.49579831932773
"anqiu",4,0,13.078431372549
"anqiu",4,1,19.0859375
"anqiu",5,0,78
"anqiu",5,1,82.7984496124031
"anqiu",6,0,187.21568627451
"anqiu",6,1,211.488372093023
"anqiu",7,0,290.076923076923
"anqiu",7,1,394.5078125
"anqiu",8,0,233.730769230769
"anqiu",8,1,289.139534883721
"anqiu",9,0,203.627450980392
"anqiu",9,1,186.527131782946
"anqiu",10,0,178.442307692308
"anqiu",10,1,157.275590551181
"anqiu",11,0,204.442307692308
"anqiu",11,1,246.850393700787
"anqiu",12,0,130.5
"anqiu",12,1,169.574803149606
"anqiu",13,0,137.365384615385
"anqiu",13,1,177.645669291339
"anqiu",14,0,158.057692307692
"anqiu",14,1,202.515873015873
"anqiu",15,0,155.365384615385
"anqiu",15,1,145.047244094488
"anqiu",16,0,184.346153846154
"anqiu",16,1,194.604651162791
"anqiu",17,0,253.096153846154
"anqiu",17,1,315.875968992248
"anqiu",18,0,300.673076923077
"anqiu",18,1,369.186046511628
"anqiu",19,0,243.076923076923
"anqiu",19,1,279.341085271318
"anqiu",20,0,192.365384615385
"anqiu",20,1,217.418604651163
"anqiu",21,0,142.960784313725
"anqiu",21,1,152.46511627907
"anqiu",22,0,61.8235294117647
"anqiu",22,1,59.6899224806202
"anqiu",23,0,23
"anqiu",23,1,26.3307086614173
"antalya",0,1,8.33333333333333
"antalya",3,1,1
"antalya",6,0,3
"antalya",6,1,2
"antalya",7,1,1
"antalya",8,0,1
"antalya",8,1,1
"antalya",9,0,1
"antalya",9,1,1
"antalya",10,0,2
"antalya",11,1,1
"antalya",12,0,1.5
"antalya",12,1,1
"antalya",13,0,2
"antalya",13,1,3
"antalya",14,0,5
"antalya",14,1,3
"antalya",15,0,1.5
"antalya",15,1,2
"antalya",16,0,1
"antalya",16,1,3
"antalya",17,0,3.5
"antalya",17,1,2
"antalya",18,0,2.5
"antalya",18,1,3
"antalya",19,0,4
"antalya",19,1,7
"antalya",20,0,8.5
"antalya",20,1,4.5
"antalya",21,0,2
"antalya",21,1,2
"antalya",22,0,1
"antalya",22,1,1
"antwerp",0,0,395.807692307692
"antwerp",0,1,353.2
"antwerp",1,0,453.592592592593
"antwerp",1,1,153.484615384615
"antwerp",2,0,339.666666666667
"antwerp",2,1,96.6923076923077
"antwerp",3,0,249.907407407407
"antwerp",3,1,65.3923076923077
"antwerp",4,0,193.444444444444
"antwerp",4,1,88.3538461538461
"antwerp",5,0,139.685185185185
"antwerp",5,1,127.553846153846
"antwerp",6,0,122.37037037037
"antwerp",6,1,421.930769230769
"antwerp",7,0,143.092592592593
"antwerp",7,1,1076.03875968992
"antwerp",8,0,328.185185185185
"antwerp",8,1,1539.76153846154
"antwerp",9,0,573.462962962963
"antwerp",9,1,1010.30769230769
"antwerp",10,0,729.037037037037
"antwerp",10,1,753.146153846154
"antwerp",11,0,809.259259259259
"antwerp",11,1,784.387596899225
"antwerp",12,0,868.092592592593
"antwerp",12,1,1024.67692307692
"antwerp",13,0,938.796296296296
"antwerp",13,1,908.423076923077
"antwerp",14,0,967.296296296296
"antwerp",14,1,876.415384615385
"antwerp",15,0,909.092592592593
"antwerp",15,1,1103.62307692308
"antwerp",16,0,956.188679245283
"antwerp",16,1,1439.84615384615
"antwerp",17,0,969.433962264151
"antwerp",17,1,1619.1
"antwerp",18,0,909.351851851852
"antwerp",18,1,1405.81538461538
"antwerp",19,0,841.415094339623
"antwerp",19,1,1164.08461538462
"antwerp",20,0,710.518518518518
"antwerp",20,1,905.076923076923
"antwerp",21,0,631.592592592593
"antwerp",21,1,759.461538461538
"antwerp",22,0,587.759259259259
"antwerp",22,1,690.415384615385
"antwerp",23,0,494.722222222222
"antwerp",23,1,530.538461538462
"anxi",0,0,199.294117647059
"anxi",0,1,208.5
"anxi",1,0,124.647058823529
"anxi",1,1,127.857142857143
"anxi",2,0,88
"anxi",2,1,93.6428571428571
"anxi",3,0,53.7058823529412
"anxi",3,1,49.5238095238095
"anxi",4,0,28.0588235294118
"anxi",4,1,26.1190476190476
"anxi",5,0,56.8235294117647
"anxi",5,1,59.8095238095238
"anxi",6,0,371.882352941176
"anxi",6,1,545.333333333333
"anxi",7,0,546.777777777778
"anxi",7,1,670.487804878049
"anxi",8,0,448.333333333333
"anxi",8,1,518.560975609756
"anxi",9,0,388.111111111111
"anxi",9,1,360.073170731707
"anxi",10,0,321.333333333333
"anxi",10,1,283.975609756098
"anxi",11,0,451.944444444444
"anxi",11,1,638.170731707317
"anxi",12,0,255.444444444444
"anxi",12,1,298.634146341463
"anxi",13,0,416.222222222222
"anxi",13,1,610.926829268293
"anxi",14,0,374.611111111111
"anxi",14,1,395.878048780488
"anxi",15,0,359.166666666667
"anxi",15,1,321
"anxi",16,0,419.277777777778
"anxi",16,1,402.634146341463
"anxi",17,0,553.611111111111
"anxi",17,1,716.365853658537
"anxi",18,0,610.222222222222
"anxi",18,1,651.19512195122
"anxi",19,0,625.722222222222
"anxi",19,1,631.878048780488
"anxi",20,0,462.888888888889
"anxi",20,1,537.19512195122
"anxi",21,0,457.888888888889
"anxi",21,1,536.175
"anxi",22,0,473.5
"anxi",22,1,531.560975609756
"anxi",23,0,256.166666666667
"anxi",23,1,252.073170731707
"aral",0,0,3.05128205128205
"aral",0,1,3.27083333333333
"aral",1,0,2.18181818181818
"aral",1,1,2.42222222222222
"aral",2,0,2.63888888888889
"aral",2,1,2.68292682926829
"aral",3,0,2.60606060606061
"aral",3,1,2.94805194805195
"aral",4,0,2.13888888888889
"aral",4,1,2.43835616438356
"aral",5,0,3.27586206896552
"aral",5,1,3.10294117647059
"aral",6,0,2.45454545454545
"aral",6,1,3.4390243902439
"aral",7,0,3.55882352941176
"aral",7,1,2.8875
"aral",8,0,3.69767441860465
"aral",8,1,3.81981981981982
"aral",9,0,6.26086956521739
"aral",9,1,9.725
"aral",10,0,6.5625
"aral",10,1,9.65833333333333
"aral",11,0,6.43478260869565
"aral",11,1,7.53781512605042
"aral",12,0,6.16666666666667
"aral",12,1,6.63478260869565
"aral",13,0,4.8695652173913
"aral",13,1,6.68333333333333
"aral",14,0,4.20454545454545
"aral",14,1,6.00854700854701
"aral",15,0,4.40540540540541
"aral",15,1,4.38461538461539
"aral",16,0,4.25581395348837
"aral",16,1,8.97457627118644
"aral",17,0,3.56818181818182
"aral",17,1,7.04385964912281
"aral",18,0,3.64285714285714
"aral",18,1,5.26724137931035
"aral",19,0,3.68085106382979
"aral",19,1,5.15702479338843
"aral",20,0,3.3695652173913
"aral",20,1,6.4
"aral",21,0,4.42222222222222
"aral",21,1,5.69421487603306
"aral",22,0,5.21276595744681
"aral",22,1,5.22222222222222
"aral",23,0,3.54545454545455
"aral",23,1,3.27358490566038
"aruba",0,0,1.5
"aruba",0,1,1
"aruba",1,1,4
"aruba",2,1,1
"aruba",3,1,2
"aruba",4,0,1
"aruba",6,0,1.14285714285714
"aruba",6,1,2.18181818181818
"aruba",7,0,2.08333333333333
"aruba",7,1,1.95744680851064
"aruba",8,0,2.25
"aruba",8,1,3.60655737704918
"aruba",9,0,2.54166666666667
"aruba",9,1,4.9375
"aruba",10,0,3.26315789473684
"aruba",10,1,3.80232558139535
"aruba",11,0,3.36
"aruba",11,1,3.21621621621622
"aruba",12,0,2.34782608695652
"aruba",12,1,2.91044776119403
"aruba",13,0,2.31034482758621
"aruba",13,1,2.88461538461538
"aruba",14,0,2.21739130434783
"aruba",14,1,2.8
"aruba",15,0,2.6
"aruba",15,1,2.9344262295082
"aruba",16,0,2.18181818181818
"aruba",16,1,2.66666666666667
"aruba",17,0,2.36666666666667
"aruba",17,1,2.73584905660377
"aruba",18,0,2.42105263157895
"aruba",18,1,2.57142857142857
"aruba",19,0,2.6
"aruba",19,1,2.72222222222222
"aruba",20,0,2.16666666666667
"aruba",20,1,2.26315789473684
"aruba",21,0,2
"aruba",21,1,2.16666666666667
"aruba",22,0,1.33333333333333
"aruba",22,1,1.7
"aruba",23,0,2
"aruba",23,1,3
"aspen",0,0,4.1025641025641
"aspen",0,1,3.44303797468354
"aspen",1,0,3.60606060606061
"aspen",1,1,2.61538461538462
"aspen",2,0,2.36666666666667
"aspen",2,1,2.13636363636364
"aspen",3,0,1.07692307692308
"aspen",3,1,1.25925925925926
"aspen",4,0,1.2
"aspen",4,1,2.38461538461538
"aspen",5,0,1.47826086956522
"aspen",5,1,2.3956043956044
"aspen",6,0,9.16279069767442
"aspen",6,1,11.037037037037
"aspen",7,0,14.6818181818182
"aspen",7,1,24.4403669724771
"aspen",8,0,22.2888888888889
"aspen",8,1,35.1363636363636
"aspen",9,0,26.9772727272727
"aspen",9,1,31.8348623853211
"aspen",10,0,26.9090909090909
"aspen",10,1,27.2702702702703
"aspen",11,0,29.3181818181818
"aspen",11,1,26.9266055045872
"aspen",12,0,30.7954545454545
"aspen",12,1,31.9818181818182
"aspen",13,0,28.1590909090909
"aspen",13,1,32.1636363636364
"aspen",14,0,32.7272727272727
"aspen",14,1,30.5909090909091
"aspen",15,0,37.7045454545455
"aspen",15,1,35.1926605504587
"aspen",16,0,35.2272727272727
"aspen",16,1,38.5272727272727
"aspen",17,0,39.4318181818182
"aspen",17,1,40.4181818181818
"aspen",18,0,34.9545454545455
"aspen",18,1,36.0181818181818
"aspen",19,0,31
"aspen",19,1,29.3454545454545
"aspen",20,0,22.9302325581395
"aspen",20,1,21.4205607476636
